REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"R","HYD","ELC",2020,1.125
"R","HYD","ELC",2021,1.158721
"R","HYD","ELC",2022,1.24896725
"R","HYD","ELC",2023,1.314936
"R","HYD","ELC",2024,1.484846
"R","HYD","ELC",2025,1.5277395
"R","HYD","ELC",2026,1.725141
"R","HYD","ELC",2027,1.774983
"R","HYD","ELC",2028,1.958779
"R","HYD","ELC",2029,2.160433
"R","HYD","ELC",2030,2.275775
"R","HYD","ELC",2031,2.510068
"R","HYD","ELC",2032,2.70556
"R","HYD","ELC",2033,2.916287
"R","HYD","ELC",2034,3.143415
"R","HYD","ELC",2035,3.388242
"R","HYD","ELC",2036,3.652132
"R","HYD","ELC",2037,3.93657
"R","HYD","ELC",2038,4.243173
"R","HYD","ELC",2039,4.573646
"R","HYD","ELC",2040,4.81781675
"R","HYD","ELC",2041,5.4345825
"R","HYD","ELC",2042,5.727678
"R","HYD","ELC",2043,6.033459
"R","HYD","ELC",2044,6.3521325
"R","HYD","ELC",2045,7.172902
"R","HYD","ELC",2046,7.731559
"R","HYD","ELC",2047,8.333721
"R","HYD","ELC",2048,9.3910955
"R","HYD","ELC",2049,9.90246375
"R","HYD","ELC",2050,9.962127
"R","MINE_WAT","WAT",2020,1.125
"R","MINE_SOL","WAT",2021,1.158721
"R","MINE_SOL","WAT",2022,1.30705875
"R","MINE_SOL","WAT",2023,1.346244
"R","MINE_SOL","WAT",2024,1.5185925
"R","MINE_SOL","WAT",2025,1.56411425
"R","MINE_SOL","WAT",2026,1.76434875
"R","MINE_SOL","WAT",2027,1.774983
"R","MINE_SOL","WAT",2028,2.049885
"R","MINE_SOL","WAT",2029,2.20953375
"R","MINE_SOL","WAT",2030,2.381625
"R","MINE_SOL","WAT",2031,2.567115
"R","MINE_SOL","WAT",2032,2.76705
"R","MINE_SOL","WAT",2033,2.98256625
"R","MINE_SOL","WAT",2034,3.21485625
"R","MINE_SOL","WAT",2035,3.4652475
"R","MINE_SOL","WAT",2036,3.735135
"R","MINE_SOL","WAT",2037,4.0260375
"R","MINE_SOL","WAT",2038,4.33960875
"R","MINE_SOL","WAT",2039,4.6775925
"R","MINE_SOL","WAT",2040,4.929859
"R","MINE_SOL","WAT",2041,5.4345825
"R","MINE_SOL","WAT",2042,5.727678
"R","MINE_SOL","WAT",2043,6.033459
"R","MINE_SOL","WAT",2044,6.3521325
"R","MINE_SOL","WAT",2045,7.3359225
"R","MINE_SOL","WAT",2046,7.90727625
"R","MINE_SOL","WAT",2047,8.333721
"R","MINE_SOL","WAT",2048,9.3910955
"R","MINE_SOL","WAT",2049,9.90246375
"R","MINE_SOL","WAT",2050,9.962127
"R","MINE_SOL","SOL",2021,1.158721
"R","MINE_SOL","SOL",2022,1.30705875
"R","MINE_SOL","SOL",2023,1.346244
"R","MINE_SOL","SOL",2024,1.5185925
"R","MINE_SOL","SOL",2025,1.56411425
"R","MINE_SOL","SOL",2026,1.76434875
"R","MINE_SOL","SOL",2027,1.774983
"R","MINE_SOL","SOL",2028,2.049885
"R","MINE_SOL","SOL",2029,2.20953375
"R","MINE_SOL","SOL",2030,2.381625
"R","MINE_SOL","SOL",2031,2.567115
"R","MINE_SOL","SOL",2032,2.76705
"R","MINE_SOL","SOL",2033,2.98256625
"R","MINE_SOL","SOL",2034,3.21485625
"R","MINE_SOL","SOL",2035,3.4652475
"R","MINE_SOL","SOL",2036,3.735135
"R","MINE_SOL","SOL",2037,4.0260375
"R","MINE_SOL","SOL",2038,4.33960875
"R","MINE_SOL","SOL",2039,4.6775925
"R","MINE_SOL","SOL",2040,4.929859
"R","MINE_SOL","SOL",2041,5.4345825
"R","MINE_SOL","SOL",2042,5.727678
"R","MINE_SOL","SOL",2043,6.033459
"R","MINE_SOL","SOL",2044,6.3521325
"R","MINE_SOL","SOL",2045,7.3359225
"R","MINE_SOL","SOL",2046,7.90727625
"R","MINE_SOL","SOL",2047,8.333721
"R","MINE_SOL","SOL",2048,9.3910955
"R","MINE_SOL","SOL",2049,9.90246375
"R","MINE_SOL","SOL",2050,9.962127
